usage_id	word	orth	sense_id	gloss	example	indices_target_token	date	period
train_ru_72	мука	мука	muka_BKnZRSdVQz0	что-либо измельчённое или превращённое в порошок	крупчатная, конфетная, крупчатка первой руки; 2. первый первачъ, крупчатка другачъ (втораго размола), второй руки; 3. второй первачъ, подрукавная; 4. куличная; 5. крючки, выбойка. Мелкiе отруби, мѣситка; крупные, шапша. Есть ещо баламушка, послѣднiй разборъ, но чаще она идетъ въ перекройку, во вторичный размолъ. Известковая мука, мелкая известь. Пороховая мука, мякоть. Ни мучицы, ни крупицы. Матушка приказала просить мучки да молочка, сковородочки да подмазочки, хочетъ блины печь; а подмазокъ свой есть!		old	old
train_ru_73	мука	мука	muka_uM_LAz5NOvM	2. смолотое хлѣбное зерно; на мельницахъ оно назыв. мякоть, а первый размолъ дранье, которое перемалывается; въ орл. слово из Орловской губернии уптрб. муки, мукъ. Нынѣ мукъ-то хорошихъ нѣтъ; тамъ гов. масла, сала, меда, сахара ипр.	дранье, которое перемалывается; въ уптрб. муки, мукъ. Нынѣ мукъ-то хорошихъ нѣтъ; тамъ гов. масла, сала, меда, сахара		old	old
train_ru_74	мука	мука	muka_QaCxuBxI-rE	однѣ ручки (т. е. испекли).	Мучка, тайкомъ продаваемый мышьякъ. Нетолчоное, такъ и не пшено; не молотъ хлѣбъ, не мука. Вотъ тебѣ моя рука, что изо ржи будетъ мука, шуточн. божба. Не тужи перемелется, все мука будетъ. Изъ одной муки хлѣба не испечошь. Пусть бы не было муки въ закромѣ, не переводился бы только печоный хлѣбъ. Соли нѣтъ, такъ и слова нѣтъ; а мука дошла, по всей семьѣ переговорка пошла. Была бъ мука да сито, а сама бъ я была сыта. Мужъ съ женой, что мука съ водой (сболтать сболтаешь, а разболтать не разболтаешь). Гдѣ чортъ ни мололъ, а къ намъ съ мукой на дворъ. Изъ водицы да изъ мучицы баба пироги печотъ. Изъ одной мучки, да не		old	old
train_ru_75	мука	мука	muka_TvOnL6gPoKs	сильное физическое или/и нравственное страдание	Двое суток мучилась она страшными муками, а на третий скончалась, разрешившись мёртвеньким; скончалась, как уверила себя, милый мой друг!		new	new
train_ru_76	мука	мука	muka_TvOnL6gPoKs	сильное физическое или/и нравственное страдание	После нескольких дней нравственных мук, ужасных тревог, страданий и тоски силы совершенно оставили меня.		new	new
train_ru_77	мука	мука	muka_TvOnL6gPoKs	сильное физическое или/и нравственное страдание	Куска лишь хлеба он просил, // И взор являл живую муку, // И кто-то камень положил // В его протянутую руку.		new	new
train_ru_78	мука	мука	muka_TvOnL6gPoKs	сильное физическое или/и нравственное страдание	Убитые лежали кучами. Раненые корчились в предсмертных муках. Слышались стоны, хрипение…		new	new
train_ru_79	мука	мука	muka_TvOnL6gPoKs	сильное физическое или/и нравственное страдание	Только крайность огорчения, только тяжелая душевная мука могла заставить ее раскрыть рот для произнесения слов, не согласных с волею родителя.		new	new
train_ru_80	мучной	мучной	muchnoj_nTlcLpnQFHg	, къ мукѣ относящс. бѣлая ржа на растеньяхъ, отъ которой они гибнутъ; болѣзнь.	Сгорбленный, запыленный, с фуражкой на затылке, из-под которой беспорядочно торчали косицы желтых волос, он действительно походил на большой мучной мешок.		new	new
train_ru_81	мучной	мучной	muchnoj_nTlcLpnQFHg	, къ мукѣ относящс. бѣлая ржа на растеньяхъ, отъ которой они гибнутъ; болѣзнь.	Мучное зерно, муку, крахмалъ содержащее. Мучные кули. Мучные высѣвки, выкройки, отруби, оторье. Мучной лабазъ. Мучной запахъ, задхловатый. Мучная пища, хлѣбная. Мучное-дерево, раст. Cratægus aria. Мучняная роса,		old	old
train_ru_82	мучной	мучной	muchnoj_nTlcLpnQFHg	, къ мукѣ относящс. бѣлая ржа на растеньяхъ, отъ которой они гибнутъ; болѣзнь.	Доказав Полесову, как дважды два четыре, что муки в городе сколько угодно и что нечего устраивать панику, граждане бежали домой, брали все наличные деньги и присоединялись к мучной очереди.		new	new
train_ru_83	мучной	мучной	muchnoj_nTlcLpnQFHg	, къ мукѣ относящс. бѣлая ржа на растеньяхъ, отъ которой они гибнутъ; болѣзнь.	За ними медленно и солидно трогались толстые валы, внутри мельницы начинали грохотать шестерни, шуршали жернова, и белая мучная пыль тучами поднималась из щелей старого-престарого мельничного здания.		new	new
train_ru_84	мучной	мучной	muchnoj_nTlcLpnQFHg	, къ мукѣ относящс. бѣлая ржа на растеньяхъ, отъ которой они гибнутъ; болѣзнь.	Ферапонтов двенадцать лет тому назад, с лёгкой руки Алпатыча, купив рощу у князя, начал торговать и теперь имел дом, постоялый двор и мучную лавку в губернии.		new	new
train_ru_85	мучной	мучной	muchnoj_nTlcLpnQFHg	, къ мукѣ относящс. бѣлая ржа на растеньяхъ, отъ которой они гибнутъ; болѣзнь.	— Довожу до сведения, что близ Самолетской пристани, за мучным лабазом, только что обнаружили два трупа — помощника начальника контрразведки Говядина и одного из его агентов…		new	new
train_ru_86	мучной	мучной	muchnoj_nTlcLpnQFHg	, къ мукѣ относящс. бѣлая ржа на растеньяхъ, отъ которой они гибнутъ; болѣзнь.	Толстый мучной торговец, забрав в рот окладистую бороду, смотрит в стакан с чаем, точно увидев в нем что-то необыкновенное.		new	new
train_ru_87	мучной	мучной	muchnoj_nTlcLpnQFHg	, къ мукѣ относящс. бѣлая ржа на растеньяхъ, отъ которой они гибнутъ; болѣзнь.	А рассуждения о мучном и травяном корме были сомнительны и неясны.		new	new
train_ru_88	мучной	мучной	muchnoj_8-WIu6dOHGA	субстантивир., собир. кушанья из муки	Ему не нужно было очень строго выдерживать себя, так как вес его как раз равнялся положенным четырём пудам с половиною; но надо было и не потолстеть, и потому он избегал мучного и сладкого.		new	new
train_ru_89	мутить	мутить	mutit'_Sv42JEuUZ2E	Мутить, мучивать, мутнуть лишать чистоты и сквознины, дѣлать что-либо мутнымъ, взмучать и возмущать; взбалтывать осадокъ и жидкости;	Наконец от долгого лежанья и чтенья «Нивы» у него начинает мутить в голове.		new	new
train_ru_90	мутить	мутить	mutit'_Sv42JEuUZ2E	Мутить, мучивать, мутнуть лишать чистоты и сквознины, дѣлать что-либо мутнымъ, взмучать и возмущать; взбалтывать осадокъ и жидкости;	жидкое,		old	old
train_ru_91	мутить	мутить	mutit'_Sv42JEuUZ2E	Мутить, мучивать, мутнуть лишать чистоты и сквознины, дѣлать что-либо мутнымъ, взмучать и возмущать; взбалтывать осадокъ и жидкости;	Как смеешь ты, наглец, нечистым рылом // Здесь чистое мутить питьё // Моё // С песком и с илом?		new	new
train_ru_92	мутить	мутить	mutit'_VJ2uTou3YjQ	*быть причиною раздора, несогласiя, ссоръ, безпорядка или народнаго ропота.	Впрочем, если перечислять всё то, что мутило и сосало теперь за сердце моего героя, то нужно в-пятых, шестых… до сотых включительно…		new	new
train_ru_93	мутить	мутить	mutit'_VJ2uTou3YjQ	*быть причиною раздора, несогласiя, ссоръ, безпорядка или народнаго ропота.	Чувство бесконечного отвращения, начинавшее давить и мутить его сердце ещё в то время, как он только шёл к старухе, достигло теперь такого размера и так ярко выяснилось, что он не знал, куда деться от тоски своей.		new	new
train_ru_94	мутить	мутить	mutit'_VJ2uTou3YjQ	*быть причиною раздора, несогласiя, ссоръ, безпорядка или народнаго ропота.	Весна мутитъ воды. Туманы мутятъ воздухъ. Помути, Богъ, народъ, накорми воеводъ!		old	old
train_ru_95	мутить	мутить	mutit'_VJ2uTou3YjQ	*быть причиною раздора, несогласiя, ссоръ, безпорядка или народнаго ропота.	Володимир-то Андреич раздумал государство мутить, да бояре-то не раздумали.		new	new
train_ru_96	мутить	мутить	mutit'_VJ2uTou3YjQ	*быть причиною раздора, несогласiя, ссоръ, безпорядка или народнаго ропота.	Вы видите, я далёк от того, чтоб клеветать на рюмку, служившую, века целые гаванью всем преследуемым за грех мысли, бежавшим в неё с четырёх сторон, — на рюмку, из которой вышел Руссо и со дна которой Вольтер мутил Европу.		new	new
train_ru_97	мутить	мутить	mutit'_bUH2WHK_RPU	безл. разг. позывать на рвоту, тошноту	Его мутило, и голова кружилась при мысли, что нужно будет разворачивать всю эту многослитную груду слипшихся тел.		new	new
train_ru_98	муторный	муторный	mutornyj_oJ9u4ahC__4	дѣлать что-либо безразсудно, опрометчиво, необдуманно;, тревожиться, безъ толку хлопотать, безпокоиться, суетиться.			old	old
train_ru_99	муторный	муторный	mutornyj_uuhgeRRMHaE	перен., разг. неприятный и тоскливый, тревожный	Это была муторная, напряжённая, жуткая ночь. Дину всю трясло.		new	new
train_ru_100	муторный	муторный	mutornyj_uuhgeRRMHaE	перен., разг. неприятный и тоскливый, тревожный	Особенно трудно было хозяйке с заготовкой рыбы впрок: для засолки не хватало посуды, а сушить на плите, без всяких приспособлений — муторное дело, плита раскалена, рыба на ней не сохнет, а горит.		new	new
train_ru_101	муторный	муторный	mutornyj_uuhgeRRMHaE	перен., разг. неприятный и тоскливый, тревожный	докучливый, противный, непрiятный, безпокойный, тревожный, суетливый. Мутосвѣтить		old	old
train_ru_102	муторный	муторный	mutornyj_81EeKodwvNs	разг. вызывающий тошноту, подташнивание	А самолёт и не качало, он шёл, как автобус по бетонке, но всё равно желудок наливался муторной тяжестью, и сердце словно повисало в пустоте.		new	new
train_ru_103	мясной	мясной	mjasnoj_WK0KjI9bnpg	, къ мясу относящiйся. заговѣнье вор. слово из Воронежской губернии канунъ масляницы.	Бойцы выпили по чарке водки, съели по полкотелка мясного супа, засыпанного крупой, и по доброй порции пшенной каши.		new	new
train_ru_104	мясной	мясной	mjasnoj_WK0KjI9bnpg	, къ мясу относящiйся. заговѣнье вор. слово из Воронежской губернии канунъ масляницы.	В широчайшем противне, который чудом держался на крошечном примусе, вплавь жарились мясные пироги.		new	new
train_ru_105	мясной	мясной	mjasnoj_WK0KjI9bnpg	, къ мясу относящiйся. заговѣнье вор. слово из Воронежской губернии канунъ масляницы.	Митька торопливо, обливаясь, хлебал мясные щи; солил круто.		new	new
train_ru_106	мясной	мясной	mjasnoj_WK0KjI9bnpg	, къ мясу относящiйся. заговѣнье вор. слово из Воронежской губернии канунъ масляницы.	Мясная ѣда. Мясные ряды. Мясной цвѣтъ, густокрасный. Мясное		old	old
train_ru_107	мясной	мясной	mjasnoj_WK0KjI9bnpg	, къ мясу относящiйся. заговѣнье вор. слово из Воронежской губернии канунъ масляницы.	Я лучше еще про шашлычки: источали они тонкий земной мясной дух, хрустели и таяли на зубах и языке едоков, были они совершенным воплощением приготовленного свиного мяса.		new	new
